rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,year,ownershipStatus,Location,sellerType,CityMpg,HyMpg
1,Used 2015 Jeep Wrangler 4WD Unlimited Sport,2,/cars-for-sale/vehicledetails.xhtml?listingId=483815323&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER&digitalRetail=true,29900,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,50741,Automatic,AT-1CD66F9B,Gasoline,Z18082A,1C4BJWDG7FL508005,1000# Maximum Payload160 Amp Alternator2 12V DC Power Outlets2 Seatback Storage Pockets2 Skid Plates22.5 Gal. Fuel Tank3.21 Rear Axle Ratio4-Way Passenger Seat -inc: Manual Recline and Fore/Aft Movement4-Wheel Disc Brakes w/4-Wheel ABS Front And Rear Vented Discs Brake Assist and Hill Hold Control50 State Emissions,#E31313,NA,"Jerry Damson Acura is pleased to be currently offering this 2015 Jeep Wrangler Unlimited Sport with 50,741mi. When you purchase a vehicle with the CARFAX Buyback Guarantee, you're getting what you paid for. The Jeep Wrangler Unlimited Sport offers a fair amount of utility thanks to its advanced features and unique styling. It's also quite sporty, and injects an ample amount of handling chutzpah into the ridin'-high body of a family-friendly SUV. Take home this Jeep Wrangler Unlimited Sport, and you will have the power of 4WD. It's a great feature when you need to drive over tricky terrain or through inclement weather. Get a complete and detailed history at no charge on this wonderfully maintained pre-owned vehicle. This Jeep Wrangler Unlimited Sport is in great condition both inside and out. No abnormal wear and tear. More information about the 2015 Jeep Wrangler Unlimited: With prices starting at a little under $23,000 with standard 4-wheel drive, the classic Wrangler is one of the best SUV values available. The 6-speed manual transmission helps the Wrangler achieve a decent 17 mpg city and 21 mpg highway rating. Jeep considers the Wrangler's off-road prowess integral to the brand and they continue to make one of the most capable 4-wheel drive vehicles available. Strengths of this model include 2- and 4-door configurations available, Iconic styling, and impressive off-road prowess","3 Years/36,000 Miles","5 Years/100,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,Jerry Damson Acura,4WD Unlimited Sport,2015,Used,Huntsville,Dealer,17,21
2,Used 2012 Jeep Wrangler Sahara,2,/cars-for-sale/vehicledetails.xhtml?listingId=482531670&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER&digitalRetail=true,25500,TRUE,Sport Utility,4 wheel drive - rear,6-Cylinder,60759,Automatic,AT-1CC2D956,Gasoline,U18106,1C4HJWEG0CL199725,(2) front/(1) rear tow hooks(6) Infinity speakers w/subwoofer115V aux pwr outlet12V aux pwr outlet160-amp alternator18 x 7.5 satin silver painted aluminum wheels3.21 axle ratio3.6L SMPI 24V VVT V6 engine4-wheel anti-lock brakes4-wheel disc brakes,#000000,NA,"This 2012 Jeep Wrangler Unlimited Sahara is proudly offered by Jerry Damson Honda-Huntsville This 2012 Jeep Wrangler Unlimited comes with a CARFAX Buyback Guarantee, which means you can buy with certainty. The Jeep Wrangler Unlimited is the benchmark all other SUVs strive to meet. With exceptional power, towing and handling, this SUV can handle anything thrown at it.Take home this Jeep Wrangler Unlimited Sahara, and you will have the power of 4WD. It's a great feature when you need to drive over tricky terrain or through inclement weather. With less than 60,727 miles on this Jeep Wrangler Unlimited, you'll appreciate the practically showroom newness of this vehicle.More information about the 2012 Jeep Wrangler Unlimited:With prices starting at a little over $20,000 and standard 4-wheel drive, the classic Wrangler is one of the best SUV values available. The 6-speed manual transmission helps the Wrangler achieve a not-too-shabby 15 mpg city and 19 mpg highway rating. Jeep considers the Wrangler's off-road prowess integral to the brand, and they continue to make one of the most capable 4-wheel drive vehicles out there. The Wrangler is one of the only vehicles that come from the factory a true adventure vehicle, and the best part is how inexpensive it is.Interesting features of this model are impressive off-road prowess, two and four-door configurations available, and Iconic styling","3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","3 Years/36,000 Miles",FALSE,Jerry Damson Honda,Sahara,2012,Used,Huntsville,Dealer,17,21
3,Used 2007 Jeep Wrangler Unlimited X,2,/cars-for-sale/vehicledetails.xhtml?listingId=484700000&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER&digitalRetail=true,15e3,FALSE,Sport Utility,2 wheel drive - rear,6-Cylinder,115620,Automatic,AT-1CE3EF60,Gasoline,U18050B,1J4GB39127L199447,(6) speakers16 x 7 lux styled steel wheels160-amp alternator3.21 axle ratio3.8L OHV 12-valve SMPI V6 engine4-wheel anti-lock brakes4-wheel disc brakes w/hydraulic assist brake boost6-speed manual transmission60/40 folding rear seat600-CCA maintenance free battery,#E31313,NA,"This 2007 Jeep Wrangler Unlimited X is offered to you for sale by Jerry Damson Honda-Huntsville. When you purchase a vehicle with the CARFAX Buyback Guarantee, you're getting what you paid for. Gone are the days of SUVs being the size of a tank and handling like one. This Jeep Wrangler is a perfect example of how SUVs have evolved into vehicles that are as refined as they are rugged. The Wrangler Unlimited X has been lightly driven and there is little to no wear and tear on this vehicle. The care taken on this gently used vehicle is reflective of the 115,614mi put on this Jeep.More information about the 2007 Jeep Wrangler:The new redesigned 2007 Jeep Wrangler improves the name's long-established reputation for exceptional off-road ability, and also gets a surprisingly broad array of modern conveniences, along with improved interior comfort and safety features. This all comes without a major jump in sticker price versus its predecessor. The Wrangler may be worth its price for its rugged looks alone, because there's nothing else like it.Strengths of this model include Rugged looks, go-anywhere off-road ability, and wide range of configurations.",NA,NA,NA,NA,TRUE,Jerry Damson Honda,Unlimited X,2007,Used,Huntsville,Dealer,NA,NA
4,Used 2017 Jeep Wrangler Unlimited Sahara,7,/cars-for-sale/vehicledetails.xhtml?listingId=480753697&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,38778,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,16481,5-Speed Automatic,AT-1CA7B821,Gasoline,P270,1C4HJWEG1HL626451,"18"" x 7.5"" Polished Satin Carbon Wheels3.21 Rear Axle Ratio4-Wheel Disc Brakes8 SpeakersABS brakesAM/FM radio: SiriusXMAir ConditioningAudio Jack Input for Mobile DevicesAuto-dimming Rear-View mirrorBrake assist",#D7D7D7,#000000,"Text Sales Manager Eric Hedges @ (256) 529-2280ONE OWNER, CLEAN CARFAX, NO ACCIDENTS!! This 2017 Jeep Wrangler Unlimited Sahara looks AWESOME!!! Lift Kit with 35 inch Tires and 20 inch Alloy Wheels really catches the eyes! Navigation, Remote Keyless Entry, Auto Dimming Rearview Mirror, Auto One Touch Driver and Front Passenger Windows, Remote Engine Start, Cruise Control, and more!!!This outstanding pre-owned vehicle is located at our new Audi Huntsville location at 6972 HWY 72 W, Huntsville, AL 35806Call 256-724-3499 to schedule your test drive today!","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/60,000 Miles",FALSE,Hiley Mazda Volkswagen Audi,Unlimited Sahara,2017,Used,Huntsville,Dealer,17,21
5,Used 2017 Jeep Wrangler Unlimited Sahara,7,/cars-for-sale/vehicledetails.xhtml?listingId=480953650&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,39500,TRUE,Sport Utility,4 wheel drive - rear,6-Cylinder,13798,5-Speed Automatic,AT-1CAAC532,Gasoline,P272,1C4HJWEG1HL626448,"18"" x 7.5"" Polished Satin Carbon Wheels3.21 Rear Axle Ratio4-Wheel Disc Brakes8 SpeakersABS brakesAM/FM radio: SiriusXMAir ConditioningAudio Jack Input for Mobile DevicesAuto-dimming Rear-View mirrorBrake assist",#000000,#000000,"Text Sales Manager Eric Hedges @ (256) 529-2280ONE OWNER, CLEAN CARFAX, NO ACCIDENTS!! This 2017 Jeep Wrangler Unlimited Sahara is BAD@$!! Lift Kit with 35 inch Tires, Smittybilt Winch, Light Bars, Rock Crusher Rocker Bars, Navigation, Remote Keyless Entry, Remote Engine Start, Auto One Touch Front Windows, Audio Controls on the Steering Wheel, Cruise Control USB/Aux Ports, Auto Dimming Reaview Mirror, 20 inch Alloy Wheels, and more!!!This outstanding pre-owned vehicle is located at our new Audi Huntsville location at 6972 HWY 72 W, Huntsville, AL 35806Call 256-724-3499 to schedule your test drive today!","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/60,000 Miles",FALSE,Hiley Mazda Volkswagen Audi,Unlimited Sahara,2017,Used,Huntsville,Dealer,17,21
6,Used 2014 Jeep Wrangler 4WD Unlimited Sahara,7,/cars-for-sale/vehicledetails.xhtml?listingId=483774740&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,NA,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,50883,Information Unavailable,AT-1CD5D114,Gasoline,PW180417,1C4BJWEG6EL302428,4 Wheel Disc Brakes4 Wheel DriveAM/FM StereoAir Bag - DriverAir Bag - PassengerAir ConditioningAudio-Satellite RadioAudio-Upgrade Sound SystemBrakes-ABS-4 WheelBucket Seats,NA,NA,- - - 2014 Jeep Wrangler Unlimited 4WD 4dr - - -,"3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Lexus of Huntsville,4WD Unlimited Sahara,2014,Used,Huntsville,Dealer,NA,NA
7,Used 2014 Jeep Wrangler Unlimited Sahara,11,/cars-for-sale/vehicledetails.xhtml?listingId=483723851&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,28500,TRUE,Sport Utility,4 wheel drive - rear,6-Cylinder,55250,Automatic,AT-1CD50A4B,Gasoline,1056,1C4BJWEG9EL193804,1 Year Subscriptions100-MPH Instrument Panels115-Volt Power Outlet(S)12-Volt Power Outlet(S)160 Alternator - Maximum Capacity (Amps)18 X 7.5 Wheel Size2 Cupholders255/70r18 Tire Size3-Point Seat Belts IN ALL Positions3-WAY Catalytic Converter,#8B8B8B,#000000,"Can't decide on hard top or soft top convertible? No problem this Jeep has them both! Incredibly clean vehicle.  *** Clean CARFAX 1-Owner ***  Navigation Heated Front Seats Max Tow Package 373 Rear End Color-matching hard top and black soft top Bluetooth Automatic Transmission Priced to sell below current market values NADA $30,900 Kelley Blue Book $30,156 CarGurus Instant Market Value $30,445 No dealer or doc fees. Financing available!","3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Rowe Motors,Unlimited Sahara,2014,Used,Huntsville,Dealer,17,21
8,Used 2008 Jeep Wrangler 4WD Unlimited Rubicon,11,/cars-for-sale/vehicledetails.xhtml?listingId=484946358&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,16900,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,155396,Automatic,AT-1CE7B1B6,Gasoline,1064,1J4GA69178L534546,12-Volt Power Outlet(S)160 Alternator - Maximum Capacity (Amps)17 Wheel Size17 Wheel Size - Spare255/75r17 Tire Size3-Point Seat Belts IN ALL Positions6 Audio - Speakers600 Battery - CCA @ 0 FAIR ConditioningALL-Speed Traction Control,#F3D511,#454545,"It's a RUBICON! Detonator Yellow Clear Coat.. This Jeep is ready to go with 4:10 Rear Axle Ratio! Can't decide on hard top or soft top convertible? No problem this Jeep has them both! *** Clean CARFAX *** Trailer Tow Group Power Convenience Group 4:10 Rear End Automatic Transmission Sunrider Soft Top (rear vinyl windows missing) Priced to sell below current market values: NADA: $18,725 CarGurus Instant Market Value: $18,000 No dealer or doc fees. Financing available!",NA,NA,NA,NA,TRUE,Rowe Motors,4WD Unlimited Rubicon,2008,Used,Huntsville,Dealer,NA,NA
9,Used 2015 Jeep Wrangler 4WD Unlimited Sport,22,/cars-for-sale/vehicledetails.xhtml?listingId=479684267&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,26882,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,26026,Automatic,AT-1C9766AB,Gasoline,PL636072,1C4BJWDG4FL636072,3.21 REAR AXLE RATIO  (STD)4-Wheel Disc BrakesA/CABSAM/FM StereoAdjustable Steering WheelAuxiliary Audio InputBILLET SILVER METALLIC CLEARCOATBLACK  CLOTH BUCKET SEATS  -inc: adjustable head restraintsBLACK 3-PIECE HARD TOP  -inc: Rear Window Defroster  Tinted Rear Quarter & Liftgate Windows  Delete Sunrider Soft Top  Freedom Panel Storage Bag  Rear Window Wiper/Washer,#8B8B8B,#000000,"CarFax 1-Owner, LOW MILES, Value Priced below the market average! -4X4 4WD ABS Brakes and many other amenities that are sure to please. Based on the excellent condition of this vehicle, along with the options and color, this Jeep Wrangler is sure to sell fast. -CARFAX 1-Owner","3 Years/36,000 Miles","5 Years/100,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,Landers McLarty Toyota,4WD Unlimited Sport,2015,Used,Huntsville,Dealer,17,21
10,Used 2008 Jeep Wrangler 4WD Unlimited Sahara,25,/cars-for-sale/vehicledetails.xhtml?listingId=483366938&zip=35801&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D35801%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,16999,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,122766,6-Speed Manual,AT-1CCF981A,Gasoline,14296,1J4GA59118L504940,4wd Selector - Manual Hi-Lo4wd Type - Part TimeAbs - 4-WheelAirbag Deactivation - Occupant Sensing PassengerAntenna Type - MastAnti-Theft System - Alarm With RemoteAnti-Theft System - Engine ImmobilizerAuxiliary Audio Input - Mp3Axle Ratio - 3.21Battery Rating - 600 Cca,#8B8B8B,#454545,"Super nice JEEP!Unlimited Sahara4X43.8L V6 engine, 6 speed manual transmissionFactory 18 inch wheels with Goodyear tiresFactory tow packageHard topFactory running boardsPower windows and lockssound barSmittybilt chrome front bumperVery nice! Come check it out today!Depending on the age of the vehicle, normal wear and tear should be anticipated. We may or may not have extra key's and floor mat's. We will be happy to obtain extra one's for you at dealer cost. Price's do not include tax and title or doc when apply's.**Price excludes the cost of optional equipment selected by the purchaser, state and local taxes, tags, registration and title fee's**Financing and extended warranties avaliable 1.99% with terms as long as 75 months W.A.C.All late model car's and truck's are backed with a 30 day 1,000 mile powertrain warranty at no costAccredited member of the Tennessee Better Business BureauCheck us out at GOBBB.ORGTo fill out an application go to gsautosales.comAlthough every reasonable effort has been made to ensure the accuracy of the information contained on this website, absolute accuracy cannot be guaranteed. This site and all information and material listed on it are presented to the user ""as is"" without warranty of any kind, either expressed or implied. All vehicles are subject to prior sale. All vehicles have been put through our service center, where a multi point inspection has been performed to ensure that we offer the best quality vehicles for our customers. All vehicles will also qualify for an extended warranty that is offered with every purchase agreement. Cost of extended warranty is not included. Price also does not include tax, title, license or documentation fee's. Thanks so much for choosing >",NA,NA,NA,NA,FALSE,"G & S Auto Sales & Rentals, LLC",4WD Unlimited Sahara,2008,Used,Huntsville,Dealer,15,19
