red,green,blue,rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,year,ownershipStatus,Location,sellerType,DriveTypeGeneral,numWordsinComment,CityMpg,HyMpg
0,0,0,1,Used 2014 Jeep Cherokee 4WD Latitude,1,/cars-for-sale/vehicledetails.xhtml?listingId=472429399&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,13995,FALSE,Sport Utility,4 wheel drive - front,4-Cylinder,66596,Automatic,AT-1C28B357,Gasoline,22814,1C4PJMCB5EW164185,NA,#000000,#000000,"Located at 1460 North Main Street in Springville UT 84663. BRAND NEW TIRES! This Latitude trim of the Cherokee has alloy wheels, four wheel drive, clean title, tinted windows, luggage rack, auxiliary and USB inputs, steering wheel controls, touch-screen stereo system and a great black on black look! ***** AUTOMAXX Springville***** --- 1460 N. Main Springville UT 84663 --- All vehicles come with a 3 month/3,000 mile Powertrain WARRANTY for your PEACE of MIND! --- Take pride in your ride! Come find your next cool car, truck or SUV today! --- Honest people, Warranties, Easy financing options, Trade or sell your car and 150 vehicles to choose from!!! --- Winner of the 2012 Quality Dealer Award in Utah and in business since 1998. --- www.utahautomaxx.com --- 801-489-0500 --- 10am to 7pm Monday to Saturday ------","3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Automaxx,4WD Latitude,2014,Used,lmao,Dealer,Automatic,818,21,28
139,139,139,2,Used 2016 Jeep Cherokee 4WD Limited,4,/cars-for-sale/vehicledetails.xhtml?listingId=481936917&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,18995,FALSE,Sport Utility,4 wheel drive - front,4-Cylinder,27041,Automatic,AT-1CB9C615,Gasoline,C16796,1C4PJMDB9GW357537,4 Wheel Drive5 Passenger SeatingAM/FM StereoAir Bag - DriverAir Bag - PassengerAir Bag - SideAir Bags - HeadAir ConditioningBrakes-ABS-4 WheelBucket Seats,#8B8B8B,#000000,"Check out this Jeep !!! Limited Edition .. Leather int with heated seats / Steering wheel .. Keyless entry .. Remote Start .. Backup Camera .. Excellent conditionAt Cougar Auto Sales we work hard to bring you the cleanest, most reliable vehicles at the best prices. We are the easiest Dealership you will ever purchased from...I Promise !!! To get pre-approved click this link: http://www.cougarautosales.com/finance-a pplication. CALL 801-229-1454 TODAY and ask for one of our helpful representatives or Text 801-836-1449 or 801-995-8488 with any questions you may have!!! Thanks For Looking!!!*(Although we make every effort to have no mistakes, they do happen. Please call to verify all information.)- - - 2016 Jeep Cherokee 4WD 4dr Limited - - -","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,Cougar Auto Sales,4WD Limited,2016,Used,lmao,Dealer,Automatic,749,21,28
227,19,19,3,Used 2016 Jeep Cherokee 4WD Limited,4,/cars-for-sale/vehicledetails.xhtml?listingId=475057786&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,17899,FALSE,Sport Utility,4 wheel drive - front,4-Cylinder,40238,Automatic,AT-1C50CE7A,Gasoline,C16745,1C4PJMDBXGW339709,4 Wheel Drive5 Passenger SeatingAM/FM StereoAir Bag - DriverAir Bag - PassengerAir Bag - SideAir Bags - HeadAir ConditioningBrakes-ABS-4 WheelBucket Seats,#E31313,#000000,"LEGENDARY OFF ROAD CAPABILITY!!! Check out this 2016 JEEP CHEROKEE LIMITED 4X4!!! It is a Clean Title, Clean Autocheck Vehicle with No Accidents in the Vehicle History. It comes with the 2.4 Liter 4 Cylinder Engine that gets Incredible Fuel Economy for an SUV, Automatic Transmission, Leather, Heated Seats, Premium Alloy Wheels and Almost New Tires, Premium Sound System with XM Satellite radio and Bluetooth Phone Connection, Power Windows and Door Locks, Tilt Steering Wheel, and Cruise Control, almost every option you can get. This vehicle runs and drives PERFECT!! Come check it out. Ask about our FREE Autocheck vehicle history report. At Cougar Auto Sales we work hard to bring you the cleanest, most reliable vehicles at the best prices. We are the easiest Dealership you will ever purchased from...I Promise !!! To get pre-approved click this link: http://www.cougarautosales.com/finance-a pplication. CALL 801-229-1454 TODAY and ask for one of our helpful representatives or Text 801-836-1449 or 801-995-8488 with any questions you may have!!! Thanks For Looking!!!*(Although we make every effort to have no mistakes, they do happen. Please call to verify all information.)- - - 2016 Jeep Cherokee 4WD 4dr Limited - - -","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,Cougar Auto Sales,4WD Limited,2016,Used,lmao,Dealer,Automatic,1230,21,28
139,139,139,4,Used 2015 Jeep Cherokee FWD Latitude,7,/cars-for-sale/vehicledetails.xhtml?listingId=483733675&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,15499,FALSE,Sport Utility,2 wheel drive - front,6-Cylinder,14213,Automatic,AT-1CD530AB,Gasoline,13749,1C4PJLCS8FW737897,3.73 Axle Ratio4-Wheel Disc Brakes6 SpeakersABS brakesAM/FM radioActive Grille ShuttersAir ConditioningAlloy wheelsAnti-whiplash front head restraintsAuxiliary Transmission Oil Cooler,#8B8B8B,#000000,"Odometer is 16079 miles below market average!29/21 Highway/City MPGBest Prices in America! AutoSource is Where Smart Money Buys. Save Thousands of Dollars without Sacrificing Quality. Drive a Better Vehicle with More Equipment. Own a Newer Used Vehicle with Lower Miles. More Safety and Luxury for Much Less Money. Our Customers Have A Fun Easy Buying Experience with our Up Front Pricing and Transparent Full Disclosure Process. Visit us at http://www.myautosource.com Call or Come in For a Test Drive Today!This car has a Branded Title and has passed a 151-Point Inspection. AutoSource is the nation's largest seller of Branded Title vehicles. For more information as to why Branded Titles offer the best value and to explore our extensive inventory, please visit: MyAutoSource.com.","3 Years/36,000 Miles","5 Years/100,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,AutoSource Lindon,FWD Latitude,2015,Used,lmao,Dealer,Automatic,784,22,31
69,69,69,5,Used 2016 Jeep Cherokee 4WD Trailhawk,7,/cars-for-sale/vehicledetails.xhtml?listingId=482784212&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,20499,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,23821,Automatic,AT-1CC6B3D4,Gasoline,13470,1C4PJMBS1GW252719,"17"" x 7.5"" Aluminum Wheels4-Wheel Disc Brakes4.08 Axle Ratio6 Speakers8.4"" Touchscreen DisplayABS brakesAM/FM radio: SiriusXMAccent Color Exterior MirrorsAir ConditioningAnti-whiplash front head restraints",#454545,#000000,"Odometer is 1771 miles below market average!26/19 Highway/City MPGBest Prices in America! AutoSource is Where Smart Money Buys. Save Thousands of Dollars without Sacrificing Quality. Drive a Better Vehicle with More Equipment. Own a Newer Used Vehicle with Lower Miles. More Safety and Luxury for Much Less Money. Our Customers Have A Fun Easy Buying Experience with our Up Front Pricing and Transparent Full Disclosure Process. Visit us at http://www.myautosource.com Call or Come in For a Test Drive Today!This car has a Branded Title and has passed a 151-Point Inspection. AutoSource is the nation's largest seller of Branded Title vehicles. For more information as to why Branded Titles offer the best value and to explore our extensive inventory, please visit: MyAutoSource.com.","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,AutoSource Lindon,4WD Trailhawk,2016,Used,lmao,Dealer,Automatic,783,19,25
227,19,19,6,Used 2015 Jeep Cherokee 4WD Limited,7,/cars-for-sale/vehicledetails.xhtml?listingId=482982071&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,18499,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,20489,Automatic,AT-1CC9B8B7,Gasoline,13602,1C4PJMDS0FW551579,"3.73 Axle Ratio4-Wheel Disc Brakes6 Speakers8.4"" Touch Screen DisplayABS brakesAM/FM radio: SiriusXMActive Grille ShuttersAir ConditioningAlloy wheelsAnti-whiplash front head restraints",#E31313,#000000,"Odometer is 9087 miles below market average!Best Prices in America! AutoSource is Where Smart Money Buys. Save Thousands of Dollars without Sacrificing Quality. Drive a Better Vehicle with More Equipment. Own a Newer Used Vehicle with Lower Miles. More Safety and Luxury for Much Less Money. Our Customers Have A Fun Easy Buying Experience with our Up Front Pricing and Transparent Full Disclosure Process. Visit us at http://www.myautosource.com Call or Come in For a Test Drive Today!This car has a Branded Title and has passed a 151-Point Inspection. AutoSource is the nation's largest seller of Branded Title vehicles. For more information as to why Branded Titles offer the best value and to explore our extensive inventory, please visit: MyAutoSource.com.","3 Years/36,000 Miles","5 Years/100,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,AutoSource Lindon,4WD Limited,2015,Used,lmao,Dealer,Automatic,761,21,28
139,139,139,7,Used 2014 Jeep Cherokee Limited,9,/cars-for-sale/vehicledetails.xhtml?listingId=482129181&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,18950,TRUE,Sport Utility,4 wheel drive - front,6-Cylinder,48702,Automatic,AT-1CBCB51D,Gasoline,1FP5041A,1C4PJMDS5EW133999,3.73 Axle Ratio4-Wheel Disc Brakes6 SpeakersABS brakesALL VEHICLES ARE PROFESSIONALLY DETAILED FOR DELIVERY!!!AM/FM radio: SiriusXMAir ConditioningAll PreOwned Vehicles Include a 150 Point Safety InspectionAlloy wheelsAnti-whiplash front head restraints,#8B8B8B,#000000,"Good Condition!! Clean Carfax!! Leather Seating!! All PreOwned Vehicles Include a 150 Point Safety Inspection, This Vehicle Includes Complimentary **GARFF CARE** TOWING,ROADSIDE,CAR WASHES!!!, ALL VEHICLES ARE PROFESSIONALLY DETAILED FOR DELIVERY!!!.Ken Garff Certified Pre-Owned vehicle means:-Vehicle has passed a 118-point inspection-3 months / 3,000 miles comprehensive warranty with a $0 deductible, including bonus coverage for defective coverage for defective tires, batteries, brakes and bulbs-GarffCARE roadside assistance-Powertrain extending additives including: engine deposit cleaning additive, transmission condition additive, fuel system cleaner, cooling system treatment, Arctic Blast A/C treatment, power steering fluid conditioner.-Second key and remote-Free home delivery available-No hassle return / exchange for 5 days or 500 miles. Limited 4WDIncludes GarffCare! (Complimentary Towing along Wasatch Front, Roadside Assistance, Complimentary Annual State Safety Inspection, Flat Tire Repair, and Car Wash with every Service Visit)Recent Arrival!2014 Jeep Cherokee Limited Certified. Odometer is 2272 miles below market average!Certification Program Details: Type your description hereAwards:* 2014 KBB.com 10 Best SUVs Under $25,000Reviews:* Smooth and refined V6 engine; pleasant ride; spacious passenger quarters; availability of high-end tech features; Trailhawk offers unique off-road capability for the segment. Source: Edmunds* It is time you were re-introduced to the Jeep Cherokee. For 2014, this famed icon has been re-engineered from the ground up, with improved sophistication, styling and technology. The body of the Cherokee has been re-sculpted, resulting in a cutting edge appearance that is aerodynamic as well. It features aggressively angled LED headlights, and a newly re-shaped rear tailgate with stunning curves. In the>","3 Years/36,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles","5 Years/100,000 Miles",FALSE,Ken Garff Ford,Limited,2014,Used,lmao,Dealer,Automatic,1862,21,28
215,215,215,8,Used 2015 Jeep Cherokee 4WD Trailhawk,9,/cars-for-sale/vehicledetails.xhtml?listingId=480619538&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,24847,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,19011,Automatic,AT-1CA5AC12,Gasoline,4E80512A,1C4PJMBS8FW727619,"150 POINT SAFETY INSPECTION INCLUDED ON ALL PREOWNED VEHICLES!17"" x 7.5"" Aluminum Wheels4-Wheel Disc Brakes4.08 Axle Ratio6 Speakers8.4"" Touch Screen DisplayABS brakesALL VEHICLES  PROFESSIONALLY DETAILED FOR DELIVERY!AM/FM radio: SiriusXMAccent Color Exterior Mirrors",#D7D7D7,#000000,"MAINTENANCE RECORDS AVAILABLE, CLEAN CARFAX, LOCAL TRADE IN!!, 150 POINT SAFETY INSPECTION INCLUDED ON ALL PREOWNED VEHICLES!, Cherokee Trailhawk, 4D Sport Utility, 3.2L V6, 9-Speed 948TE Automatic, 4WD, White.Ken Garff Chevrolet is pumped up to offer this outstanding 2015 Jeep Cherokee. Trailhawk 4WDOdometer is 22907 miles below market average!26/19 Highway/City MPG Includes GarffCare! (Complimentary Towing along Wasatch Front, Roadside Assistance, Complimentary Annual State Safety Inspection, Flat Tire Repair, and Car Wash with every Service Visit)Recent Arrival! White 2015 Jeep Cherokee TrailhawkReviews:* Smooth and refined V6 engine; smooth and quiet ride; spacious passenger quarters; abundance of available high-end tech features; Trailhawk offers unique off-road capability for the segment. Source: Edmunds* For 2015, this famed Jeep Cherokee remains full of sophistication, styling and technology. The body of the Cherokee is cutting edge with an appearance that is aerodynamic. It features aggressively angled LED headlights, and a rear tailgate with stunning curves. Even the signature Jeep 7-slotted Grille is a modern refined look, but is still instantly recognizable. Standard on all models, is the impressive 2.4-Liter MultiAir2 Tigershark I4 engine with 184hp, and a 9-Speed Automatic Transmission. The Trailhawk model gives you the 9-Speed Transmission with Jeep Active Drive II, an Off-Road Suspension, and Hill Descent Control. Need extra power? No problem. All models, with the exception of the Sport, give you the option of a 3.2-Liter Pentastar V6, with 271 hp. The Cherokee is available in both Front-Wheel and Four-Wheel Drive Models, with seven trims between them. The interior is stylish and high-end, but with an attitude. Hand-sculpted angles, incredible technology, and high quality materials scream comfort. Experience the feel of the bucket seats that are designed to make all your drives >","3 Years/36,000 Miles","5 Years/100,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,Ken Garff Chevrolet,4WD Trailhawk,2015,Used,lmao,Dealer,Automatic,1928,19,25
215,215,215,9,Used 2017 Jeep Cherokee 4WD Trailhawk,9,/cars-for-sale/vehicledetails.xhtml?listingId=478675243&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,27191,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,24123,9-Speed Shiftable Automatic,AT-1C88012B,Gasoline,4EP4990,1C4PJMBS7HW564500,"**CARFAX ONE OWNER**150 POINT SAFETY INSPECTION INCLUDED ON ALL PREOWNED VEHICLES!17"" x 7.5"" Aluminum Wheels4-Wheel Disc Brakes4.08 Axle Ratio6 Speakers600 Amp Maintenance Free Battery8.4"" Touchscreen DisplayABS brakesALL VEHICLES  PROFESSIONALLY DETAILED FOR DELIVERY!",#D7D7D7,#000000,"**CARFAX ONE OWNER**, 150 POINT SAFETY INSPECTION INCLUDED ON ALL PREOWNED VEHICLES!, Cherokee Trailhawk, 4D Sport Utility, 3.2L V6, 9-Speed Automatic, 4WD, Bright White Clearcoat, black Cloth.Ken Garff Chevrolet is very proud to offer this great-looking 2017 Jeep Cherokee. Trailhawk 4WDIncludes GarffCare! (Complimentary Towing along Wasatch Front, Roadside Assistance, Complimentary Annual State Safety Inspection, Flat Tire Repair, and Car Wash with every Service Visit)Recent Arrival! Bright White Clearcoat 2017 Jeep Cherokee TrailhawkReviews:* Available V6 engine provides smooth and assertive power; absorbent suspension smooths out rough surfaces; capable and user-friendly 8.4-inch touchscreen on many models; Trailhawk offers unique off-road capability for a small crossover. Source: Edmunds","3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/60,000 Miles",FALSE,Ken Garff Chevrolet,4WD Trailhawk,2017,Used,lmao,Dealer,Automatic,802,19,25
0,0,0,10,Used 2016 Jeep Cherokee 4WD Latitude,9,/cars-for-sale/vehicledetails.xhtml?listingId=484604764&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dd%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DCHER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=d&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=CHER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=CHER,NA,FALSE,Sport Utility,4 wheel drive - front,6-Cylinder,20649,Automatic,AT-1CE27B5C,Gasoline,4EP5002,1C4PJMCS3GW205321,"3.52 Axle Ratio3.73 Axle Ratio4-Wheel Disc Brakes6 Speakers8.4"" Touchscreen DisplayABS brakesAM/FM radioActive Grille ShuttersAir ConditioningAlloy wheels",#000000,#000000,,"3 Years/36,000 Miles","5 Years/60,000 Miles",5 Years/Unlimited Miles,"5 Years/100,000 Miles",FALSE,Ken Garff Chevrolet,4WD Latitude,2016,Used,lmao,Dealer,Automatic,0,21,28
