label,value
AMC,AMC
Acura,ACURA
Alfa Romeo,ALFA
Aston Martin,ASTON
Audi,AUDI
BMW,BMW
Bentley,BENTL
Bugatti,BUGATTI
Buick,BUICK
Cadillac,CAD
Chevrolet,CHEV
Chrysler,CHRY
Daewoo,DAEW
Datsun,DATSUN
DeLorean,DELOREAN
Dodge,DODGE
Eagle,EAGLE
FIAT,FIAT
Ferrari,FER
Fisker,FISK
Ford,FORD
Freightliner,FREIGHT
GMC,GMC
Genesis,GENESIS
Geo,GEO
HUMMER,AMGEN
Honda,HONDA
Hyundai,HYUND
INFINITI,INFIN
Isuzu,ISU
Jaguar,JAG
Jeep,JEEP
Karma,KARMA
Kia,KIA
Lamborghini,LAM
Land Rover,ROV
Lexus,LEXUS
Lincoln,LINC
Lotus,LOTUS
MAZDA,MAZDA
MINI,MINI
Maserati,MAS
Maybach,MAYBACH
McLaren,MCLAREN
Mercedes-Benz,MB
Mercury,MERC
Mitsubishi,MIT
Nissan,NISSAN
Oldsmobile,OLDS
Plymouth,PLYM
Polestar,POLESTAR
Pontiac,PONT
Porsche,POR
RAM,RAM
Rolls-Royce,RR
SRT,SRT
Saab,SAAB
Saturn,SATURN
Scion,SCION
Subaru,SUB
Suzuki,SUZUKI
Tesla,TESLA
Toyota,TOYOTA
Volkswagen,VOLKS
Volvo,VOLVO
Yugo,YUGO
smart,SMART
