rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,year,ownershipStatus,Location,sellerType,CityMpg,HyMpg
1,Used 2015 Jeep Wrangler Willys Wheeler,12,/cars-for-sale/vehicledetails.xhtml?listingId=478483503&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,21999,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,58e3,Automatic,AT-1C85142F,Gasoline,Information Unavailable,Information Unavailable,Bluetooth Hands-FreeCD PlayerCruise ControlKeyless EntryLift KitPower LocksPower WindowsPremium WheelsSteering Wheel ControlsTrailer Hitch,#05518D,#000000,$3500 in upgrades:5-New 35x12.5 Toyo open country MT tiresTerra flex lift with (4) Fox shocks Terra flex spare tire carrier and hilift jack mount Tow hitchBimini soft top included Tonneau cover included All scheduled maintenance. All records. Excellent condition. Looks & drives great. Mostly highway miles. New tires. Non-smoker. One owner. Still under factory warranty. Very clean interior. Well maintained.,NA,NA,NA,NA,FALSE,Private Seller,Willys Wheeler,2015,Used,Provo,Private,NA,NA
2,Used 2008 Jeep Wrangler Rubicon,15,/cars-for-sale/vehicledetails.xhtml?listingId=483480682&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,15900,FALSE,Sport Utility,4 wheel drive,6-Cylinder,121e3,Automatic,AT-1CD1546A,Gasoline,Information Unavailable,1J4GA64158L571618,Keyless EntryPower LocksPower WindowsPremium AudioPremium WheelsTrailer Hitch,#F3D511,#000000,"This Jeep Rubicon is in pristine condition with no dents or scratches and upholstery that looks brand new.  Black tint factory windows in back,  air conditioning, great stereo, tow hitch and  Jeep mud mats. It has been babied by me and always garaged. It has been my fishing car which hasn?t seen a lot of action the past few years. I have maintained in addition to oil changes, replacing the sway bar last year and new brakes.  Always garaged, . Excellent condition, Looks & drives great. No accidents, Non-smoker.    We are building in St George and I need a commuter car to pack on the miles.  Will need new tires soon.",NA,NA,NA,NA,FALSE,Private Seller,Rubicon,2008,Used,Provo,Private,NA,NA
3,Used 2014 Jeep Grand Cherokee Limited,180,/cars-for-sale/vehicledetails.xhtml?listingId=476210260&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,24999,FALSE,Sport Utility,4 wheel drive,6-Cylinder,98400,Automatic,AT-1C626454,Diesel,Information Unavailable,1C4RJFBM9EC528469,Backup CameraBluetooth Hands-FreeCruise ControlHeated SeatsKeyless EntryLeather SeatsMulti-zone Climate ControlNavigationPortable Audio ConnectionPower Locks,#454545,#F5F5DC,"Very clean, limited edition. Runs and drives excellent. Turbocharged diesel which gets 32 highway MPG. 4x4. New tires and windshield .Original one owner SUV., Always garaged, Factory GPS system, Non-smoker, Satellite radio, rear backup camera and park assist. Still under factory warranty, Very clean interior. Listed new for over $40,000. Would consider Older Suburban or Yukon XL in trade plus cash.",NA,NA,NA,NA,FALSE,Private Seller,Limited,2014,Used,Provo,Private,NA,NA
4,Used 2014 Jeep Grand Cherokee Overland,238,/cars-for-sale/vehicledetails.xhtml?listingId=470967091&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=JEEPGRAND,21e3,FALSE,Sport Utility,Information Unavailable,8-Cylinder,100400,Automatic,AT-1C126333,Gasoline,Information Unavailable,1C4RJFCT6EC190695,Backup CameraBluetooth Hands-FreeCruise ControlHeated SeatsKeyless EntryLeather SeatsMulti-zone Climate ControlNavigationPortable Audio ConnectionPower Locks,#D7D7D7,#D2B48C,"A/C ice cold, All scheduled maintenance, Always garaged, Custom wheels, Excellent condition, Factory GPS system, Fully loaded with all the goodies, Looks & drives great, Mostly highway miles, Must see, New tires, No accidents, Non-smoker, Satellite radio, Seats like new, Title in hand, Upgraded sound system, Very clean interior, Well maintained",NA,NA,NA,NA,FALSE,Private Seller,Overland,2014,Used,Provo,Private,NA,NA
5,Used 2007 Jeep Wrangler Unlimited,346,/cars-for-sale/vehicledetails.xhtml?listingId=463761177&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,17e3,FALSE,Sport Utility,2 wheel drive - rear,6 Cylinder,93e3,Automatic,AT-1BA46F19,Gasoline,Information Unavailable,1J4GB39147L226129,Power LocksPower WindowsPremium Audio,#D7D7D7,#000000,"Great condition!Brand new tires(less than 500 miles), new rims, and lifted. Great Jeep in perfect condition Text me with questions801-234-9730In Las Vegas",NA,NA,NA,NA,FALSE,Private Seller,Unlimited,2007,Used,Provo,Private,NA,NA
6,Used 2011 Jeep Wrangler Unlimited Sport,350,/cars-for-sale/vehicledetails.xhtml?listingId=475839627&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,24900,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,102e3,Manual,AT-1C5CBC8B,Gasoline,Information Unavailable,1J4BA3H1XBL541623,CD PlayerCruise ControlKeyless EntryLift KitPortable Audio ConnectionPower LocksPower WindowsPremium WheelsSecurity SystemSteering Wheel Controls,#E31313,#000000,"Fully loaded with all the goodies, Super Sharp Jeep Wrangler Unlimited, Custom black steel wheels with 315 70R Procomp Tires, 2 1/2 inch lift, brand new Rancho Shocks, Smitty Built Winch, Rock Sliders, Heavy Duty Rear Bumper and Tire Rack, Brand New Hard Top, Comes with Bikini Top and Soft Top Too! Ice Cold AC, Looks & drives great, No accidents, Non-smoker, Title in hand, Upgraded Pioneer sound system with brand new Cerwin Vega Speakers, Very clean interior, Heavy Duty Floor Mats, Well maintained. Outstanding Jeep with awesome stance and build. Everything is already done.",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Sport,2011,Used,Provo,Private,NA,NA
7,Used 2014 Jeep Patriot Altitude,350,/cars-for-sale/vehicledetails.xhtml?listingId=466076234&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=PATRIOT,16e3,FALSE,Sport Utility,2 wheel drive - front,4 Cylinder,32280,Automatic,AT-1BC7C24A,Gasoline,Information Unavailable,1C4NJPBA5ED850790,CD PlayerPortable Audio ConnectionPremium WheelsTrailer Hitch,#8B8B8B,#000000,Super low miles! Great car I'm just downsizing. Still under manufacture warranty.  A/C ice cold. All scheduled maintenance. Custom wheels. Looks & drives great. Must see. No accidents. Non-smoker. One owner. Still under factory warranty. Very clean interior. Well maintained. Hitch mounted.,NA,NA,NA,NA,FALSE,Private Seller,Altitude,2014,Used,Provo,Private,NA,NA
8,Used 2008 Jeep Wrangler Sahara,352,/cars-for-sale/vehicledetails.xhtml?listingId=474337137&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,14850,FALSE,Sport Utility,4 wheel drive,6-Cylinder,129693,Automatic,AT-1C45CF71,Gasoline,Information Unavailable,1J8FA54118L565870,CD PlayerCruise ControlKeyless EntryNavigationPower LocksPower WindowsPremium AudioPremium WheelsSecurity SystemSteering Wheel Controls,#248B15,#454545,"VERY CLEAN -- Not Off Roaded  - Factory Dashboard GPS - Hard Top/Soft Top - Satellite Radio - Traction Control - Remote Entry - Air Conditioning - Factory Fog Lights - Cruise ControlMostly Highway Miles - One Owner - Title In Hand - VEHICLE HISTORY REPORT AVAILABLE AND PROVIDED UPON REQUEST , No accidents, One owner",NA,NA,NA,NA,FALSE,Private Seller,Sahara,2008,Used,Provo,Private,NA,NA
9,Used 2002 Jeep Wrangler Sahara,353,/cars-for-sale/vehicledetails.xhtml?listingId=443134615&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,11500,FALSE,Sport Utility,4 wheel drive,6-Cylinder,2100,Manual,AT-1A69B297,Gasoline,Information Unavailable,1J4FA59S72P722059,CD PlayerCruise ControlLift KitPremium AudioSteering Wheel ControlsTrailer Hitch,#D7D7D7,#D2B48C,"I am selling my 2002 Jeep Wrangler Sahara, I'm the second owner purchased from Medved Castle Rock on 7-17-2004 with 22,634 miles, it now has 1,600 miles on the new motor with the remainder of a 3yr 100,000 mile warranty and 142,300 original miles, Unlike other Jeeps you will see this one runs great and has BEEN PRO-ACTIVELY MAINTAINED and always garaged. Just inspected by Hotchkiss Auto Repair on 10-26-16, most recent maintenance items have been performed at Hotchkiss Auto repair, Hi-lo gear selection, Automatic locking hubs, Transmission: 5-speed manual, Slotted front disc / rear drum brakes, Engine immobilizer, Front fog/driving lights, Cruise control, Front console with storage, Leather steering wheel, 7 total speakers, AM/FM in-dash single CD player stereo, built in subwoofer, purchased with the 4&quot; suspension lift. 4-27-16 Valvoline 10W30 oil and filter change with inspection of motor, suspension track bar replacement. 8-21-15 Hotchkiss Auto Repair installed a rebuilt Jasper Engine (upgrades from stock motor from Jasper Multi-layer steel head gasket and new design cam bearings to improve oil pressure), camshaft position sensor, oil pump drive, and while it was out a clutch kit. (The original motor was found to have metal in the oil so I had it replaced) 3-28-14 2 new tires 33x12.50 Goodyear Wrangler Dura track tires, New rear drive shaft, repair transfer case housing, replaced rear main seal, re-built clutch. (Fastlane automotive) Installed ARB air compressor with hose, Front and Rear TeraFlex Swaybar Quick Disconnects, Smittybilt Rear bumper and spare tire carrier, High lift jack, Sylvania Silver star headlights, Optima Red top battery, Billet Locking fuel door, Poweraid Throttle Body Spacer, K&N Cold air intake, Banks Monster Exhaust System, Prothane Urethane Performance bushing kit. My Jeep came standard with the hard top and doors in addition I will throw in the cargo net restraint system and a removable safari top. Additional service records available.",NA,NA,NA,NA,FALSE,Private Seller,Sahara,2002,Used,Provo,Private,NA,NA
10,Used 2007 Jeep Wrangler Unlimited Sahara,353,/cars-for-sale/vehicledetails.xhtml?listingId=456345886&zip=84604&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D84604%26sellerTypes%3Dp%26minPrice%3D10000%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26maxPrice%3D27000%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&minPrice=10000&startYear=1981&numRecords=100&maxPrice=27000&firstRecord=0&endYear=2019&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,23500,FALSE,Sport Utility,4 wheel drive,6 Cylinder,53400,Automatic,AT-1B33491E,Gasoline,Information Unavailable,1J8GA59117L216946,Keyless EntryLeather SeatsPower LocksPower WindowsPremium WheelsTrailer Hitch,#000000,#000000,"Engine rebuild and exhaust manifold replacement at 53,375 miles. Rebuild with warranty completed by All American 4X4 in Littleton, CO. Custom lift kit, front and rear bumper, running boards, roof rack, light bar, and off road tires. Interior and exterior in great condition except for driver sider rear bumper.",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Sahara,2007,Used,Provo,Private,NA,NA
