rowNum,listing_title,listing_distance_miles,listing_url,price,listingPriceRedu,Body Style,Drive Type,Engine,Mileage,Transmission,ATC Car ID,Fuel,Stock #,VIN,carFeaturesText,exterior,interior,sellerComment,Basic Warranty,Corrosion Warranty,Drivetrain Warranty,Roadside Assistance Warranty,newListingIndicator,Dealer,model,year,ownershipStatus,Location,sellerType,CityMpg,HyMpg
1,Used 2008 Jeep Wrangler Sport,6,/cars-for-sale/vehicledetails.xhtml?listingId=476398667&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,17500,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,60430,Manual,AT-1C65444B,Gasoline,Information Unavailable,1J4FA24138L619735,Cruise ControlLift KitPortable Audio ConnectionPremium AudioPremium WheelsTrailer Hitch,#D7D7D7,#000000,"We have to sell to get a more family friendly car.  My son and I have had fun building up this Jeep.   Sad to see it go.  Beautiful low mileage 2008 Jeep Wrangler. Garage kept and only driven around 6,000 Miles per year. Excellent condition with a flawless maintenance record. Many extras including upgraded bumpers, light package, lift, 33 inch tires w/ black out rims, upgraded sound system with 12in Kenwood sub and amp, side step / rock sliders, after market grill and sticker package, perfect paint.  So fun to drive. Get s tones of compliments. A/C ice cold. All scheduled maintenance. All records. Always garaged. Custom paint/graphics. Custom wheels. Excellent condition. Looks & drives great. Must see. No accidents. Non-smoker. Title in hand. Upgraded sound system. Very clean interior. Well maintained.",NA,NA,NA,NA,FALSE,Private Seller,Sport,2008,Used,Phoenix,Private,NA,NA
2,Used 2013 Jeep Wrangler Sahara,9,/cars-for-sale/vehicledetails.xhtml?listingId=478723467&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,29900,FALSE,Sport Utility,4 wheel drive,6-Cylinder,59657,Automatic,AT-1C88BD8B,Gasoline,Information Unavailable,Information Unavailable,Bluetooth Hands-FreeCD PlayerCruise ControlDVD PlayerHeated SeatsNavigationPortable Audio ConnectionPower LocksPower WindowsPremium Wheels,NA,#000000,This vehicle has just been serviced ($800 worth of fluid changes and new brakes) so it s good to go!  Has a spider mesh top and quick disconnects installed on front axle. I also have a lightbar with high end mounts I ll throw in. Upgraded Nitto tires/18&quot; wheels/front bumper/fenders/tinted windows and sound proofing,NA,NA,NA,NA,FALSE,Private Seller,Sahara,2013,Used,Phoenix,Private,NA,NA
3,Used 2004 Jeep Wrangler Rubicon,10,/cars-for-sale/vehicledetails.xhtml?listingId=463758198&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,14500,FALSE,Sport Utility,4 wheel drive,6 Cylinder,84e3,Manual,AT-1BA46376,Gasoline,Information Unavailable,1J4FA69S34P755343,CD PlayerCruise ControlLift KitPortable Audio ConnectionPremium WheelsSecurity SystemSteering Wheel ControlsTrailer Hitch,#8B8B8B,#000000,"Jeep Wrangler Rubicon 1 TonSuper Duty Axles 4:30SILVER 2004 JEEP WRANGLER 2 DOOR; 5 SPEED MANUAL L6, 4.0L (242 CID) 4WD with 84000 miles.Rock Trac Transfer Case with Low 4 to 1 Crawl RatioKC Lightstrailer hitch.Bilstein 5100 shocksBanks Mass flow air intakeBanks HeaderAdjustable Control Arms and Trac BarIndustries strongest long arm lift kit (Clayton Offroad 6 inch)Triangulated 4 link rear suspension1 inch Body Lift KitStainless Steel Brake LinesTom Woods custom driveshaftsFlowmaster ExhaustQuick disconnect sway barRe centered H1 dual bead lock wheelsNew BrakesNew front calipersNew front rotorsNew front wheel bearingsNew Flowmaster muffler",NA,NA,NA,NA,FALSE,Private Seller,Rubicon,2004,Used,Phoenix,Private,NA,NA
4,Used 2016 Jeep Wrangler Unlimited Rubicon,10,/cars-for-sale/vehicledetails.xhtml?listingId=476073704&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,42900,FALSE,Sport Utility,4 wheel drive,6-Cylinder,24500,Automatic,AT-1C604EE8,Gasoline,Information Unavailable,1C4BJWFG1GL292392,Bluetooth Hands-FreeCD PlayerCruise ControlHeated SeatsKeyless EntryLeather SeatsLift KitNavigationPortable Audio ConnectionPower Locks,#D7D7D7,#000000,"2016 Jeep Wrangler Unlimited HARD ROCK Edition. This is an AMAZING vehicle is built for ADVENTURE and ready for SUMMER!!! Factory lift, equipped with full steel hard rock front and rear bumpers winch ready. Body color 3-piece freedom top with hardtop headliner, and jeep sunshade for when the top is off. Body Color fenders and Hard Rock edition hood. Additional side mirrors and foot rests for when doors are removed. New Thule roof rack.  Factory upgraded 4.10 Axle ratios with hill start assist. Max trailer tow package. Rear window defroster, A/C ice cold, All scheduled maintenance with records available, Always garaged. Excellent condition. Very well maintained. Leather seats and interior are pristine and covered by &quot;Auto Butler&quot; with scheduled application through dealership. Interior display is an upgraded 6.5 inch screen. Upgraded sound system which is an Alpine Premium 9 speaker with water-proof, all weather subwoofer. Custom wheels, Fully loaded with all the goodies, Looks & drives great, Mostly highway miles, Driven in the snow one time to go snow boarding and handled like a dream. New tires. No accidents. Non-smoker. One owner and still under factory warranty. All scheduled maintenance.Must see to believe!",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Rubicon,2016,Used,Phoenix,Private,17,21
5,Used 2012 Jeep Wrangler Call of Duty,21,/cars-for-sale/vehicledetails.xhtml?listingId=480988769&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,35e3,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,28e3,Automatic,AT-1CAB4E61,Gasoline,Information Unavailable,1C4HJWFG3CL248186,CD PlayerCruise ControlKeyless EntryLeather SeatsNavigationPower LocksPower WindowsPremium AudioPremium WheelsSteering Wheel Controls,#000000,#000000,"This Call of Duty MW3 edition Jeep Wrangler is a rare find and in amazing condition. Number 3259 out of 3500 made. Personal vehicle of actor, Seann William Scott....best known for his role as Stifler in the American Pie movies. No, you will not get to meet him as his brother will be handling the sale for him. Will send an autographed photo of him with the Jeep to the buyer. A/C ice cold, All scheduled maintenance, All records, Always garaged, Excellent condition, Factory GPS system, Fully loaded with all the goodies, Looks & drives great, Must see, Never seen snow, 5 New Nitto Terra Grappler G3 tires, No accidents, Non-smoker, One owner, Satellite radio, Seats like new, Title in hand, Very clean interior, Upgraded HID headlight and fog light package. Well maintained. A few light scratches but otherwise in exceptional condition.",NA,NA,NA,NA,FALSE,Private Seller,Call of Duty,2012,Used,Phoenix,Private,NA,NA
6,Used 2006 Jeep Wrangler Rubicon,25,/cars-for-sale/vehicledetails.xhtml?listingId=463283773&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,23500,FALSE,Sport Utility,All wheel drive,6-Cylinder,47e3,Automatic,AT-1B9D263D,Gasoline,Information Unavailable,Information Unavailable,CD PlayerCruise ControlLift KitPortable Audio ConnectionPremium Audio,#D7D7D7,#454545,"2006 beautiful low mileage (47,000) Jeep Wrangler TJ Rubicon. Hard to find white exterior (original paint), automatic, factory hard top, AC, cruise, factory 6 disc AM/FM/CD/XM/Subwoofer stereo, tinted windows, tilt, original paint, hard doors, compass/temp in mirror   all factory options. An extremely nice Jeep that may have seen a dirt road and that is it! The only thing that is not factory stock are the LED taillights and a 2  Rubicon Lift that looks great without interfering with the Jeeps factory drive components. Runs perfect, in excellent condition - must see and drive to appreciate the care this Jeep has had. Happy to provide the  clean Carfax  when seeing Jeep so you don t have to pay for it. Thank you. ",NA,NA,NA,NA,FALSE,Private Seller,Rubicon,2006,Used,Phoenix,Private,NA,NA
7,Used 2017 Jeep Wrangler Sport,25,/cars-for-sale/vehicledetails.xhtml?listingId=482877031&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,32900,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,9500,Automatic,AT-1CC81E67,Gasoline,Information Unavailable,1C4AJWAG8HL648518,Bluetooth Hands-FreeCD PlayerCruise ControlKeyless EntryLift KitPortable Audio ConnectionPower LocksPower WindowsPremium AudioPremium Wheels,#E31313,#000000,"Big Bear Pkg (many options, 3.73 axle, Alpine Stereo, 17x7.5 wheels, reinforced swing gate, etc)2 inch lift (dealer installed) incl Fox shocks,springs and driveshaft. Stock parts incl.Custom seat covers over factory upgraded cloth seatsExc condBalance of paint prot pkg -2 more yearsSelling to get a JL265/17 factory tires, A/C ice cold, All scheduled maintenance, All records, Custom wheels, Excellent condition, Fully loaded with all the goodies, Looks & drives great, No accidents, One owner, Satellite radio, Still under factory warranty, Title in hand, Upgraded sound system, Very clean interior, Well maintained",NA,NA,NA,NA,FALSE,Private Seller,Sport,2017,Used,Phoenix,Private,NA,NA
8,Used 2012 Jeep Wrangler Call of Duty,30,/cars-for-sale/vehicledetails.xhtml?listingId=460652266&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,25999,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,70100,Manual,AT-1B74FEEA,Gasoline,Information Unavailable,Information Unavailable,Cruise ControlLeather SeatsLift KitPower LocksPower WindowsPremium WheelsSteering Wheel ControlsTrailer Hitch,#000000,#000000,"AMAZING!!!  MUST SEE!  A/C ice cold, Always garaged, Custom wheels, Lifted, Excellent condition, Looks & drives great, Mostly highway miles, Must see, Never seen snow, New tires, No accidents, Non-smoker, Seats like new, Upgraded sound system, Well maintained. Must see",NA,NA,NA,NA,FALSE,Private Seller,Call of Duty,2012,Used,Phoenix,Private,NA,NA
9,Used 2005 Jeep Wrangler Unlimited Rubicon,55,/cars-for-sale/vehicledetails.xhtml?listingId=482820636&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,25750,FALSE,Sport Utility,4 wheel drive - rear,6-Cylinder,19e3,Automatic,AT-1CC7421C,Gasoline,Information Unavailable,1J4FA64S35P363570,CD PlayerCruise ControlLift KitPremium AudioPremium WheelsTrailer Hitch,#D7D7D7,#454545,"Arizona vehicle since new, Second Owner, purchased in 2011 from original owner now has 19,000 actual miles. 6&quot; long travel suspension, New Bilstein shocks, New BFG 35/12.50/17 mud terrain tires, new Method Bead Lock Wheels, Smitty Built front and rear bumpers, Smitty Built front and rear fenders, Mopar 8,000lb winch, 6 cd changer, hard and soft top + bimini top, interior and exterior in great condition!",NA,NA,NA,NA,FALSE,Private Seller,Unlimited Rubicon,2005,Used,Phoenix,Private,NA,NA
10,Used 2016 Jeep Wrangler Unlimited,70,/cars-for-sale/vehicledetails.xhtml?listingId=467301515&zip=85001&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D85001%26sellerTypes%3Dp%26startYear%3D1981%26numRecords%3D100%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26modelCodeList%3DWRANGLER%26makeCodeList%3DJEEP%26searchRadius%3D0&sellerTypes=p&startYear=1981&numRecords=100&firstRecord=0&endYear=2019&modelCodeList=WRANGLER&makeCodeList=JEEP&searchRadius=0&makeCode1=JEEP&modelCode1=WRANGLER,35400,FALSE,Sport Utility,4 wheel drive,6-Cylinder,56e3,Automatic,AT-1BDA748B,Hybrid Gas/Electric,Information Unavailable,Information Unavailable,Backup CameraCD PlayerCruise ControlDVD PlayerLift KitNavigationPortable Audio ConnectionPower LocksPower WindowsPremium Audio,#000000,#454545,"This is a one owner and was my daily driver with lots of upgrades.                Custom painted accessories. Custom Alpine stereo and amp with front camera in winch bumper for off road. Custom hood and grill. Banks intake and exhaust. Operable soft top and hard top included. 2&quot; lift and off road shocks. Front bumper with winch, lights and custom tow hooks. Rear bumper with tire carrier and jack.Call for more details",NA,NA,NA,NA,FALSE,Private Seller,Unlimited,2016,Used,Phoenix,Private,16,20
